First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Oleksandr,Doskalchuk,,Mar 13 1990,5' 6",125 lbs.,--,Southpaw,10,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
David,Douglas,Tarzan,Aug 16 1981,5' 11",155 lbs.,--,,9,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Damion,Douglas,,--,--,170 lbs.,--,,4,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
John,Dowdy,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jordan,Dowdy,,--,--,170 lbs.,--,,4,3,0,--,2.11,44,2.63,50,0.00,0,0,0.0
Danny,Downes,,Apr 08 1986,6' 0",155 lbs.,72.0",Orthodox,8,3,0,--,1.66,34,3.53,37,0.00,0,37,0.5
Derek,Downey,,Apr 27 1980,6' 1",185 lbs.,--,Orthodox,11,4,0,--,0.32,100,3.36,12,2.40,16,0,0.0
John,Doyle,The Iron Bull,Nov 21 1976,5' 11",205 lbs.,--,Orthodox,11,22,0,--,3.50,44,10.51,27,0.00,0,0,0.0
Edson,Drago,,Aug 29 1977,6' 4",220 lbs.,--,Orthodox,11,7,0,--,1.16,40,2.39,36,0.00,0,55,0.0
Kyle,Driscoll,KD,Sep 23 1994,5' 11",145 lbs.,74.0",Orthodox,12,3,0,--,2.73,32,2.60,58,2.00,18,0,0.0
Chris,Drumm,,--,5' 8",145 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tomasz,Drwal,Gorilla,Jan 22 1982,6' 1",205 lbs.,76.0",Orthodox,21,5,1,--,3.29,38,2.26,57,3.55,60,82,0.4
Robert,Drysdale,,Oct 05 1981,6' 3",205 lbs.,--,Orthodox,7,0,0,--,0.00,0,0.00,0,7.32,100,0,21.9
Dricus,Du Plessis,Stillknocks,Jan 14 1994,6' 1",185 lbs.,76.0",Switch,15,2,0,--,7.72,44,4.16,67,0.00,0,0,0.0
Hugo,Duarte,,Aug 09 1968,6' 0",240 lbs.,--,Orthodox,6,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Antonio,Duarte,Tigre,--,5' 7",135 lbs.,--,,19,7,0,--,4.55,40,4.18,57,0.00,0,60,0.0
Joe,Duarte,,Jan 25 1977,--,155 lbs.,--,,10,4,0,--,2.27,38,4.00,53,3.00,50,69,1.0
Milana,Dudieva,,Aug 04 1989,5' 3",135 lbs.,--,Orthodox,11,6,0,--,0.87,31,3.43,58,2.34,45,0,0.0
Adin,Duenas,,Jul 02 1988,5' 6",145 lbs.,--,,6,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Todd,Duffee,,Dec 06 1985,6' 3",260 lbs.,78.0",Orthodox,9,3,0,--,5.93,37,2.87,56,0.72,25,90,0.0
Joe,Duffy,Irish,Feb 18 1988,5' 10",155 lbs.,73.0",Orthodox,16,5,0,--,2.68,34,3.78,54,0.96,66,64,0.7
Alexis,Dufresne,Sneaky Zebra,Aug 31 1990,5' 9",135 lbs.,--,Orthodox,6,3,0,--,1.33,27,3.33,60,1.50,50,50,0.0
Jessamyn,Duke,The Gun,Jun 24 1986,5' 11",135 lbs.,73.0",Orthodox,3,5,0,--,4.83,53,4.43,57,1.27,36,50,1.9
Kelly,Dullanty,Psycho,Nov 04 1977,5' 8",155 lbs.,--,Orthodox,4,2,0,--,0.00,0,0.67,75,0.00,0,66,0.0
Norma,Dumont,The Immortal,Oct 01 1990,5' 7",145 lbs.,67.0",Orthodox,5,1,0,--,5.35,55,2.65,72,2.43,42,100,0.0
Evan,Dunham,,Dec 18 1981,5' 10",155 lbs.,70.0",Southpaw,18,9,1,--,5.33,39,3.54,61,1.82,33,79,1.0
Alex,Dunworth,,--,5' 8",155 lbs.,--,,2,2,0,--,1.94,31,8.71,35,0.00,0,50,0.0
Tom,Duquesnoy,Fire Kid,Jun 21 1993,5' 7",135 lbs.,68.0",Orthodox,16,2,0,--,3.83,45,5.30,62,0.42,25,46,0.0
Albert,Duraev,Machete,Jan 05 1989,5' 11",170 lbs.,--,,13,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Reuben,Duran,,Jul 02 1983,5' 7",135 lbs.,71.0",Orthodox,11,7,1,--,3.19,49,2.61,50,0.98,23,25,0.7
Cody,Durden,,Mar 29 1991,5' 7",125 lbs.,67.0",Southpaw,11,3,1,--,3.11,48,3.93,41,3.28,26,50,0.8
Luiz,Dutra,Besouro,May 06 1982,5' 11",170 lbs.,--,Orthodox,13,6,1,--,3.92,50,4.80,41,0.00,0,100,0.0
Rilley,Dutro,,Sep 03 1987,5' 8",125 lbs.,--,Orthodox,11,4,0,--,4.74,54,5.95,33,0.00,0,83,0.0
Bill,Duvall,,--,6' 2",185 lbs.,--,Southpaw,1,2,0,--,0.00,0,2.40,40,0.00,0,0,0.0
Merab,Dvalishvili,The Machine,Jan 10 1991,5' 6",135 lbs.,68.0",Orthodox,13,4,0,--,4.02,39,2.22,61,7.38,43,78,0.4
David,Dvorak,Undertaker,Jun 05 1992,5' 5",125 lbs.,68.0",Orthodox,19,3,0,--,4.50,48,3.17,63,0.00,0,75,0.0
Matt,Dwyer,,Dec 17 1989,6' 4",170 lbs.,76.0",Orthodox,9,4,0,--,2.57,34,3.24,54,0.44,10,60,0.0
Rolando,Dy,Dy Incredible,Aug 11 1990,5' 8",145 lbs.,69.0",Orthodox,9,7,1,--,3.04,37,4.47,52,0.30,20,68,0.0
Ben,Earwood,,--,5' 8",170 lbs.,--,Orthodox,12,3,0,--,0.50,55,0.20,33,3.00,100,0,0.0
Cody,East,The Freight Train,Jun 29 1988,6' 3",245 lbs.,--,Orthodox,12,3,0,--,4.15,43,7.32,40,3.97,100,16,0.0
Marvin,Eastman,The Beastman,Jun 08 1971,5' 9",185 lbs.,73.0",Orthodox,18,15,1,--,2.21,35,3.92,42,1.38,33,81,0.0
Mike,Easton,The Hulk,Jan 25 1984,5' 6",135 lbs.,70.0",Southpaw,13,6,0,--,3.51,37,4.28,61,0.75,22,66,0.0
Maurice,Eazel,,--,5' 7",135 lbs.,--,,7,15,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Vincent,Eazelle,The Real Deal,Dec 07 1980,5' 11",155 lbs.,--,,9,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ross,Ebanez,The Boss,May 18 1975,5' 9",154 lbs.,--,Southpaw,20,10,0,--,0.74,50,0.74,62,3.70,100,0,0.0
Brian,Ebersole,Bad Boy,Nov 27 1980,6' 0",170 lbs.,73.0",Southpaw,51,18,1,--,2.32,49,2.14,56,1.70,23,61,0.1
Mark,Eddiva,,Feb 16 1986,5' 8",145 lbs.,68.0",Orthodox,6,3,0,--,3.37,45,2.98,54,1.45,22,63,0.0
Frankie,Edgar,The Answer,Oct 16 1981,5' 6",135 lbs.,68.0",Orthodox,23,9,1,--,3.70,39,2.71,66,2.28,31,65,0.3
Abdul-Kerim,Edilov,,Nov 25 1991,6' 2",205 lbs.,--,Orthodox,17,4,0,--,10.22,61,0.13,92,3.98,100,0,2.0
Johnny,Eduardo,,Aug 03 1978,5' 7",135 lbs.,71.0",Orthodox,28,12,0,--,2.89,38,3.34,63,0.00,0,62,0.5
Yves,Edwards,,Sep 30 1976,5' 9",155 lbs.,73.0",Southpaw,42,22,1,--,2.91,42,2.34,66,0.76,53,69,0.7
Justin,Edwards,Fast Eddy,Jan 26 1983,5' 10",155 lbs.,70.0",Orthodox,9,5,0,--,2.68,42,3.32,51,2.14,26,27,1.0
Leon,Edwards,Rocky,Aug 25 1991,6' 2",170 lbs.,74.0",Southpaw,18,3,0,--,2.56,47,2.03,55,1.35,30,70,0.4
Te,Edwards,,Sep 11 1990,5' 8",155 lbs.,72.0",Orthodox,6,3,0,--,1.50,41,4.15,44,0.72,100,44,0.0
Adli,Edwards,,Aug 28 1989,--,145 lbs.,--,,4,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Joselyne,Edwards,La Pantera,Sep 29 1995,5' 8",135 lbs.,70.0",Orthodox,10,3,0,--,4.20,53,3.83,46,0.50,16,37,0.5
Tom,Egan,,--,5' 11",170 lbs.,--,Orthodox,7,5,0,--,0.00,0,3.91,50,0.00,0,28,0.0
Stephanie,Egger,,Aug 12 1988,5' 6",135 lbs.,68.0",Orthodox,5,2,0,--,0.67,31,1.33,52,1.00,16,40,0.0
Justin,Eilers,The Hammer,Jun 28 1978,6' 1",235 lbs.,--,Orthodox,19,7,1,--,2.86,43,5.66,49,0.82,25,50,0.0
Jon Olav,Einemo,The Viking,Dec 10 1975,6' 6",253 lbs.,--,Orthodox,6,3,0,--,2.15,52,3.05,52,1.73,55,43,0.0
Per,Eklund,,--,5' 10",155 lbs.,72.0",Orthodox,14,5,1,--,2.07,61,2.38,67,2.07,11,50,3.6
John,Elam,,--,--,--,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
John Paul,Elias,,--,6' 4",205 lbs.,--,,3,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Saul,Elizondo,,Jul 17 1985,5' 7",135 lbs.,--,,6,8,0,--,2.07,30,4.93,48,2.00,100,66,1.0
Darren,Elkins,The Damage,May 16 1984,5' 10",145 lbs.,71.0",Orthodox,26,9,0,--,3.50,38,3.08,52,2.70,33,58,1.2
Jake,Ellenberger,The Juggernaut,Mar 28 1985,5' 9",170 lbs.,71.0",Orthodox,31,15,0,--,2.47,39,2.83,60,2.04,47,86,0.4
Joe,Ellenberger,Excalibur,Mar 28 1985,5' 9",155 lbs.,72.0",Orthodox,15,2,0,--,1.62,47,3.45,48,3.17,40,0,1.1
Tim,Elliott,,Dec 24 1986,5' 7",125 lbs.,66.0",Southpaw,18,11,1,--,3.35,45,2.49,59,4.01,49,58,1.1
Eddy,Ellis,Fast,--,5' 9",170 lbs.,--,Orthodox,21,16,1,--,3.40,69,1.53,68,4.00,66,50,2.0
Lisa,Ellis,,Nov 15 1982,5' 4",115 lbs.,--,,15,11,0,--,1.68,48,2.32,57,4.19,63,50,0.6
Anna,Elmose,Panda,Oct 06 1984,5' 3",115 lbs.,--,Orthodox,3,2,0,--,3.68,49,4.64,56,0.00,0,33,0.0
Cameron,Else,Camchida,Apr 27 1987,5' 9",135 lbs.,71.0",Switch,10,5,0,--,1.92,36,5.58,58,0.00,0,0,0.0
Aaron,Ely,The Cyborg,Mar 18 1989,5' 8",135 lbs.,--,,5,2,0,--,0.82,15,0.66,69,2.47,100,50,4.9
Sovannahry,Em,The Sweet Savage,Jun 26 1992,5' 4",135 lbs.,--,,3,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ramazan,Emeev,Gorets,May 23 1987,5' 10",170 lbs.,76.0",Southpaw,20,4,0,--,2.50,45,1.98,66,2.33,29,66,0.5
Aleksander,Emelianenko,,Aug 02 1981,6' 6",255 lbs.,--,Orthodox,23,7,0,--,2.75,41,1.70,65,2.32,72,66,0.9
Fedor,Emelianenko,The Last Emperor,Sep 28 1976,6' 0",230 lbs.,74.0",Orthodox,36,5,0,--,3.18,51,1.00,63,2.00,63,82,1.9
Rob,Emerson,The Saint,Jul 30 1981,5' 9",155 lbs.,70.0",Orthodox,18,12,0,--,2.50,30,2.83,64,2.02,52,65,0.4
Jamall,Emmers,Pretty Boy,Jul 24 1989,5' 10",145 lbs.,74.0",Orthodox,18,5,0,--,5.75,52,4.65,54,2.90,53,100,0.0
Josh,Emmett,,Mar 04 1985,5' 6",145 lbs.,70.0",Orthodox,16,2,0,--,4.32,39,4.02,63,1.43,47,50,0.1
Marius,Enache,,Oct 16 1975,5' 11",155 lbs.,--,,3,3,0,--,1.71,34,0.66,84,3.94,100,0,3.9
Kevin,Engel,The Hitman,--,6' 2",170 lbs.,--,,5,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Oliver,Enkamp,,Aug 10 1991,6' 0",170 lbs.,77.0",Switch,7,2,0,--,2.38,36,3.55,37,0.87,16,0,0.0
Alex,Enlund,,May 27 1987,5' 10",145 lbs.,--,Orthodox,14,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kenny,Ento,Tha' Dragon,--,6' 2",192 lbs.,--,,14,15,0,--,8.41,79,0.00,100,5.49,100,0,11.0
Ian,Entwistle,Enty,Nov 19 1986,5' 5",135 lbs.,--,Orthodox,9,3,0,--,0.11,7,7.36,31,0.00,0,0,12.1
Andy,Enz,Tank Mode,Aug 15 1991,6' 3",185 lbs.,78.0",Orthodox,10,4,0,--,3.51,23,5.32,57,0.00,0,58,0.0
Won Jin,Eoh,,--,5' 7",160 lbs.,--,Orthodox,5,5,1,--,3.74,44,3.58,46,0.00,0,50,0.0
Josh,Epps,,Aug 23 1986,--,130 lbs.,--,,6,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tom,Erikson,The Big Cat,--,6' 3",280 lbs.,--,Orthodox,9,4,1,--,0.94,47,1.87,25,4.68,60,100,6.2
Konstantin,Erokhin,,Jan 31 1983,5' 11",230 lbs.,--,Orthodox,9,3,0,--,1.07,36,1.83,47,0.00,0,70,0.0
Julian,Erosa,Juicy J,Jul 31 1989,6' 1",145 lbs.,74.0",Southpaw,25,9,0,--,5.07,47,5.72,50,1.32,54,58,0.9
Nick,Ertl,,--,5' 9",155 lbs.,--,,8,6,0,--,1.34,69,1.59,41,1.88,50,0,0.0
Chel,Erwin-Davis,The First Sun,--,6' 0",170 lbs.,--,,5,1,0,--,4.06,54,1.13,61,4.25,100,50,1.4
Bobby,Escalante,,--,--,130 lbs.,--,,5,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Eric,Esch,Butterbean,Aug 03 1968,5' 11",350 lbs.,--,Orthodox,15,10,1,--,3.07,71,1.74,43,0.00,0,0,2.0
Pro,Escobedo,,--,--,205 lbs.,--,,1,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Cole,Escovedo,Apache Kid,Aug 30 1981,5' 7",135 lbs.,72.0",Orthodox,17,9,0,--,1.77,43,4.32,49,0.43,33,13,0.0
Efrain,Escudero,Hecho En Mexico,Jan 15 1986,5' 9",155 lbs.,71.0",Orthodox,28,12,0,--,2.92,44,2.30,63,1.31,40,66,0.8
Evan,Esguerra,,--,--,145 lbs.,--,,8,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Carla,Esparza,Cookie Monster,Oct 10 1987,5' 1",115 lbs.,63.0",Orthodox,18,6,0,--,2.29,42,2.85,53,3.44,35,48,0.3
Juan,Espino,El Guapo,Oct 09 1980,6' 3",255 lbs.,80.0",,11,2,0,--,2.38,70,1.95,40,8.93,78,50,2.4
Jordan,Espinosa,The Gamer,Nov 08 1989,5' 6",125 lbs.,69.0",Orthodox,15,9,0,--,4.22,52,2.94,57,0.75,28,70,0.2
Jodie,Esquibel,,May 07 1986,5' 1",115 lbs.,64.0",Orthodox,6,6,0,--,4.10,31,7.37,52,0.75,21,83,0.0
Terry,Etim,,Jan 11 1986,6' 1",155 lbs.,73.0",Orthodox,16,5,0,--,2.16,35,2.53,67,0.43,30,39,1.4
Fred,Ettish,,--,6' 0",180 lbs.,--,Southpaw,1,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Scott,Ettling,,--,--,135 lbs.,--,,4,2,0,--,0.00,0,0.54,83,8.04,100,0,0.0
Sijara,Eubanks,Sarj,Apr 27 1985,5' 4",135 lbs.,67.0",Orthodox,7,6,0,--,4.52,43,3.69,57,1.88,46,65,0.4
Billy,Evangelista,,Oct 07 1980,5' 8",155 lbs.,68.0",Orthodox,13,3,0,--,4.51,40,3.96,61,1.60,19,61,0.2
Rashad,Evans,Suga,Sep 25 1979,6' 0",205 lbs.,75.0",Orthodox,19,8,1,--,2.14,37,2.42,63,2.98,44,73,0.0
Doug,Evans,,Oct 10 1980,5' 9",155 lbs.,--,Orthodox,13,10,0,--,1.79,35,2.55,55,3.19,83,69,0.6
Ashlee,Evans-Smith,Rebel Girl,Jul 09 1987,5' 8",135 lbs.,67.0",Orthodox,6,5,0,--,4.54,34,4.69,55,1.10,23,66,0.0
Dan,Evensen,The Viking,Jun 01 1974,6' 3",250 lbs.,--,Orthodox,11,4,0,--,0.27,10,3.86,38,0.00,0,0,4.0
Tonya,Evinger,Triple Threat,Jun 04 1981,5' 7",135 lbs.,70.0",Orthodox,19,8,0,--,1.16,42,4.02,38,0.93,30,33,0.9
Movsar,Evloev,,Feb 11 1994,5' 7",145 lbs.,72.0",Orthodox,14,0,0,--,4.70,44,2.83,64,2.75,37,70,0.0
Andre,Ewell,Mr. Highlight,Jan 21 1988,5' 8",135 lbs.,75.0",Southpaw,17,7,0,--,4.42,41,4.25,52,0.29,66,70,0.1
Neal,Ewing,,Sep 30 1985,--,185 lbs.,--,,6,0,0,--,2.27,60,1.93,48,5.00,62,0,0.0
Jessica,Eye,Evil,Jul 27 1986,5' 6",125 lbs.,66.0",Orthodox,15,9,0,--,3.76,37,4.01,55,0.45,40,57,0.5
Edward,Faaloloto,,Jul 15 1984,--,155 lbs.,70.0",,2,5,0,--,2.28,32,6.25,44,1.01,25,33,0.0
Urijah,Faber,The California Kid,May 14 1979,5' 6",135 lbs.,67.0",Orthodox,35,11,0,--,2.65,40,2.59,64,1.54,30,58,0.8
Melinda,Fabian,,Jun 25 1987,5' 6",125 lbs.,66.0",,4,4,2,--,4.03,41,4.00,62,0.00,0,100,0.0
Wagnney,Fabiano,The Silencer,Jul 14 1975,5' 6",145 lbs.,69.0",Southpaw,16,4,0,--,1.19,38,0.66,70,3.44,64,100,0.4
Bartosz,Fabinski,The Butcher,Apr 26 1986,6' 0",170 lbs.,75.0",Orthodox,15,5,0,--,2.23,68,1.46,51,7.10,70,80,0.0
Ron,Faircloth,,Aug 16 1979,5' 9",205 lbs.,--,Orthodox,33,20,0,--,0.39,40,8.90,42,0.00,0,0,0.0
Jason,Fairn,,--,6' 1",230 lbs.,--,,4,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Zarah,Fairn,Infinite,Dec 10 1983,5' 8",135 lbs.,72.0",Orthodox,6,4,0,--,1.98,45,6.61,39,0.00,0,50,0.0
Rinat,Fakhretdinov,Gladiator,Sep 28 1991,6' 0",185 lbs.,--,,18,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Maiquel,Falcao,Big Rig,Mar 08 1981,5' 11",185 lbs.,--,Orthodox,37,10,0,--,1.67,55,0.53,86,1.00,100,71,3.0
Brodie,Farber,,Jul 05 1980,6' 1",170 lbs.,--,Orthodox,16,7,0,--,1.69,45,2.17,53,0.90,50,20,0.9
Joao Paulo,Faria,,--,5' 9",155 lbs.,--,,1,1,0,--,6.69,64,2.09,85,1.25,50,0,1.2
Kalindra,Faria,,Jul 23 1986,5' 7",125 lbs.,--,Switch,18,8,1,--,2.23,56,1.44,45,1.31,66,20,0.7
Chance,Farrar,,Sep 11 1975,5' 9",145 lbs.,--,Southpaw,8,3,0,--,0.81,22,2.21,67,3.02,100,0,0.0
Rico,Farrington,The Triggerman,Jun 19 1989,6' 4",170 lbs.,79.0",Southpaw,7,3,0,--,6.33,41,7.20,51,0.00,0,20,0.0
Kelly,Faszholz,,Apr 09 1985,5' 8",135 lbs.,--,Orthodox,4,2,0,--,4.01,48,3.61,52,0.00,0,44,0.0
Rodney,Faverus,,--,6' 0",215 lbs.,--,Southpaw,25,20,3,--,2.30,53,1.60,54,4.50,100,25,0.0
Paul,Felder,The Irish Dragon,Apr 25 1984,5' 11",155 lbs.,70.0",Orthodox,17,6,0,--,3.70,44,3.44,48,0.29,28,64,0.2
Carlos,Felipe,Boi,Jan 12 1995,6' 0",245 lbs.,75.0",Orthodox,10,1,0,--,4.42,45,4.60,47,0.00,0,70,0.0
JP,Felty,,Apr 28 1979,--,170 lbs.,--,,4,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kevin,Ferguson,Kimbo Slice,Feb 08 1974,6' 2",235 lbs.,77.0",Orthodox,5,2,0,--,2.30,50,3.41,38,3.10,72,36,1.2
Rhadi,Ferguson,,--,5' 7",205 lbs.,--,,3,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tony,Ferguson,El Cucuy,Feb 12 1984,5' 11",155 lbs.,76.0",Orthodox,26,6,0,--,5.15,45,3.78,59,0.42,42,67,1.1
Josh,Ferguson,Taz,May 13 1988,5' 5",125 lbs.,--,Orthodox,10,5,0,--,2.13,43,4.18,32,0.59,11,54,0.0
CJ,Fernandes,,Nov 13 1977,6' 2",170 lbs.,--,,14,8,3,--,0.00,0,0.00,0,0.00,0,0,0.0
Bibiano,Fernandes,,Mar 30 1980,5' 7",139 lbs.,--,Orthodox,20,3,0,--,2.91,40,2.02,72,3.97,53,77,0.6
Alexandre,Ferreira,Cacareco,Apr 25 1979,5' 7",205 lbs.,--,Orthodox,18,6,0,--,2.57,60,8.14,42,0.00,0,0,0.0
Cezar,Ferreira,Mutante,Feb 15 1985,6' 1",185 lbs.,78.0",Southpaw,13,8,0,--,1.90,42,2.44,53,2.69,53,84,0.5
Diego,Ferreira,,Jan 18 1985,5' 9",155 lbs.,74.0",Orthodox,17,4,0,--,4.70,37,3.38,56,0.81,24,66,0.8
Scott,Ferrozzo,The Pitbull,Apr 26 1965,5' 11",323 lbs.,--,Orthodox,4,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Timo,Feucht,,Jan 18 1996,6' 3",205 lbs.,79.0",Orthodox,8,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Drew,Fickett,The Master,Dec 14 1979,5' 10",155 lbs.,70.0",Orthodox,42,21,0,--,2.33,41,2.29,57,1.30,35,30,2.2
Scott,Fiedler,,--,6' 4",235 lbs.,--,Orthodox,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ron,Fields,Killing,Nov 18 1974,6' 2",200 lbs.,--,Orthodox,28,32,1,--,0.33,33,2.64,11,0.00,0,0,0.0
Deiveson,Figueiredo,Deus da Guerra,Dec 18 1987,5' 5",125 lbs.,68.0",Orthodox,20,1,1,Champ,3.38,56,3.35,50,1.57,50,61,2.4
Francisco,Figueiredo,Sniper,Oct 23 1989,5' 6",135 lbs.,69.0",Southpaw,12,3,1,--,1.93,54,2.07,76,4.00,66,100,0.0
Anthony,Figueroa,,--,5' 4",135 lbs.,--,Orthodox,11,8,1,--,2.37,48,3.77,49,0.00,0,58,0.0
Edwin,Figueroa,El Feroz,Jul 31 1984,5' 7",135 lbs.,69.0",Orthodox,9,5,0,--,2.57,39,3.06,51,0.20,100,37,0.6
Paulo,Filho,,May 24 1978,5' 8",185 lbs.,--,Southpaw,23,6,3,--,1.86,48,1.67,66,2.40,32,42,1.6
Andre,Fili,Touchy,Jun 25 1990,5' 11",145 lbs.,74.0",Orthodox,21,8,0,--,3.73,36,3.90,52,2.50,49,64,0.2
Mirko,Filipovic,Cro Cop,Sep 10 1974,6' 2",230 lbs.,73.0",Southpaw,35,11,2,--,2.11,50,1.89,63,0.19,40,78,0.3
Brady,Fink,,--,6' 0",183 lbs.,--,Orthodox,2,3,0,--,1.69,41,1.69,61,3.63,25,0,3.6
Jesse,Finney,,Jul 11 1974,6' 0",170 lbs.,--,,5,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jan,Finney,Cuddles,--,5' 8",135 lbs.,--,Orthodox,11,12,0,--,2.16,28,8.75,42,0.77,11,25,0.0
Luigi,Fioravanti,,Jan 22 1981,5' 8",170 lbs.,70.0",Orthodox,26,15,0,--,2.23,42,2.21,69,3.76,63,67,0.9
Manon,Fiorot,The Beast,Feb 17 1990,5' 7",125 lbs.,--,Orthodox,6,1,0,--,5.80,53,1.86,79,1.64,100,100,0.0
Luiz,Firmino,Buscape,Mar 18 1982,5' 6",154 lbs.,--,Orthodox,19,8,0,--,1.23,50,1.22,51,3.86,45,20,0.9
Spencer,Fisher,The King,May 09 1976,5' 7",155 lbs.,68.0",Southpaw,24,9,0,--,3.17,43,3.03,64,0.67,30,60,0.8
Chris,Fishgold,,Jun 06 1992,5' 8",145 lbs.,68.0",Orthodox,18,4,1,--,2.01,32,2.70,46,2.59,46,44,1.3
Bryanna,Fissori,,--,5' 4",145 lbs.,--,,2,4,0,--,1.40,46,1.20,57,2.00,25,50,0.0
Jon,Fitch,,Feb 24 1978,6' 0",170 lbs.,74.0",Orthodox,30,7,1,--,2.61,50,1.65,54,3.60,51,56,0.8
Isi,Fitikefu,Doxz,--,5' 10",205 lbs.,--,,6,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rafael,Fiziev,Ataman,Mar 05 1993,5' 8",155 lbs.,71.0",Switch,9,1,0,--,4.67,57,4.17,55,0.84,50,100,0.0
Colin,Fletcher,The Freakshow,Jan 08 1983,6' 2",155 lbs.,--,Orthodox,14,8,0,--,3.10,34,2.97,62,0.00,0,27,0.0
AJ,Fletcher,The Ghost,Feb 18 1997,5' 9",170 lbs.,--,,7,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jimmy,Flick,The Brick,Sep 07 1990,5' 7",125 lbs.,68.0",Orthodox,16,5,0,--,1.99,58,2.30,50,1.81,50,0,7.2
Luke,Flores,,Mar 17 1988,6' 0",155 lbs.,73.0",Southpaw,9,2,0,--,1.56,44,1.88,60,0.00,0,40,1.2
Ty,Flores,Big Medicine,Dec 22 1993,6' 3",205 lbs.,73.0",Switch,7,3,0,--,2.00,37,7.80,25,1.00,9,0,0.0
Alejandro,Flores,El Gallito,Aug 06 1991,5' 10",145 lbs.,73.0",Orthodox,17,3,0,--,3.66,40,2.02,54,0.00,0,0,0.0
Kenny,Florian,KenFlo,May 26 1976,5' 10",145 lbs.,74.0",Southpaw,14,6,0,--,2.41,40,1.85,63,2.22,33,60,1.3
Cody,Floyd,,Jul 18 1988,--,--,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bobby,Flynn,,--,--,170 lbs.,--,,6,4,0,--,0.38,25,0.77,0,0.00,0,0,0.0
Caros,Fodor,The Future,Jan 07 1984,5' 9",155 lbs.,74.0",Orthodox,11,6,0,--,2.76,54,2.83,54,2.10,25,50,0.0
Mal,Foki,Twin Tiger,--,5' 7",220 lbs.,--,Orthodox,5,5,0,--,2.86,14,14.29,54,0.00,0,0,0.0
Matt,Foki,Twin Tiger,--,5' 7",220 lbs.,--,Orthodox,5,4,0,--,0.00,0,3.37,56,0.00,0,0,0.0
AJ,Fonseca,,--,5' 4",145 lbs.,--,,5,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rob,Font,,Jun 25 1987,5' 8",135 lbs.,71.0",Orthodox,18,4,0,--,5.21,42,3.83,62,1.20,36,48,0.8
Claudionor,Fontinelle,,--,5' 5",185 lbs.,--,Orthodox,10,15,1,--,2.62,42,10.25,28,0.00,0,0,0.0
Jesse,Forbes,Kid Hercules,Oct 24 1984,6' 2",185 lbs.,75.0",Southpaw,15,5,0,--,2.11,24,4.06,53,1.79,75,66,1.2
Sterling,Ford,,Mar 12 1986,5' 10",155 lbs.,--,,15,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Codale,Ford,Crunch Time,May 13 1979,5' 9",170 lbs.,--,,11,9,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jussier,Formiga,,Apr 14 1985,5' 5",125 lbs.,67.0",Orthodox,23,8,0,--,1.42,39,2.34,64,1.82,35,87,0.6
Renee,Forte,,Mar 27 1987,5' 7",155 lbs.,71.0",Orthodox,8,4,0,--,2.08,32,2.12,63,2.32,58,66,0.0
Marcel,Fortuna,,Oct 22 1985,6' 1",205 lbs.,74.0",Orthodox,9,3,0,--,3.83,46,4.52,64,0.45,8,75,0.5
